arr_teff_coolstar,arr_t0roche_coolstar_Earth,arr_t0roche_coolstar_Earth_lower,arr_t0roche_coolstar_Earth_upper,arr_t0roche_coolstar_SuperEarth,arr_t0roche_coolstar_SuperEarth_lower,arr_t0roche_coolstar_SuperEarth_upper
2.900000000000000000e+03,1.372189027465568643e+03,1.323979113729773644e+03,1.401388699492342994e+03,1.427867279268440598e+03,1.377701189187660475e+03,1.458251763780321880e+03
2.905811623246493127e+03,1.378118822505900425e+03,1.330263548774741366e+03,1.407462459332955859e+03,1.434037683011207946e+03,1.384240622887965856e+03,1.464571973871612045e+03
2.911623246492985800e+03,1.384058850382859646e+03,1.336555656524469669e+03,1.413543262799178819e+03,1.440218734800492712e+03,1.390788040622432163e+03,1.470899513392256267e+03
2.917434869739478927e+03,1.390008991359563424e+03,1.342855285704559719e+03,1.419631032361744474e+03,1.446410310040939976e+03,1.397343284978516976e+03,1.477234301667140471e+03
2.923246492985972054e+03,1.395969127757933848e+03,1.349162290659665587e+03,1.425725692016582343e+03,1.452612286279540967e+03,1.403906204390730181e+03,1.483576259608236342e+03
2.929058116232464727e+03,1.401939143899846840e+03,1.355476531057953025e+03,1.431827167227692144e+03,1.458824543144388599e+03,1.410476652833101070e+03,1.489925309655155161e+03
2.934869739478957854e+03,1.407918926050255550e+03,1.361797871613300686e+03,1.437935384872491113e+03,1.465046962285498012e+03,1.417054489530108413e+03,1.496281375718274148e+03
2.940681362725450981e+03,1.413908362362222761e+03,1.368126181824067089e+03,1.444050273189510108e+03,1.471279427317605041e+03,1.423639578684846128e+03,1.502644383124315937e+03
2.946492985971944108e+03,1.419907342823771387e+03,1.374461335727265123e+03,1.450171761728325919e+03,1.477521823764862347e+03,1.430231789223224268e+03,1.509014258564244301e+03
2.952304609218436781e+03,1.425915759206480743e+03,1.380803211667134747e+03,1.456299781301609073e+03,1.483774039007347255e+03,1.436830994553152777e+03,1.515390930043369053e+03
2.958116232464929908e+03,1.431933505015774699e+03,1.387151692077144389e+03,1.462434263939207767e+03,1.490035962229336747e+03,1.443437072337692598e+03,1.521774326833566192e+03
2.963927855711423035e+03,1.437960475442828056e+03,1.393506663274529728e+03,1.468575142844134234e+03,1.496307484369258418e+03,1.450049904281262343e+03,1.528164379427478252e+03
2.969739478957915708e+03,1.443996567318026109e+03,1.399868015266545399e+03,1.474722352350381470e+03,1.502588498071264439e+03,1.456669375928025602e+03,1.534561019494619813e+03
2.975551102204408835e+03,1.450041679065929657e+03,1.406235641567693392e+03,1.480875827882498697e+03,1.508878897638367107e+03,1.463295376471705595e+03,1.540964179839311782e+03
2.981362725450901962e+03,1.456095710661659950e+03,1.412609439027186909e+03,1.487035505916794136e+03,1.515178578987056198e+03,1.469927798576045234e+03,1.547373794360311194e+03
2.987174348697394635e+03,1.462158563588707011e+03,1.418989307666033028e+03,1.493201323944140313e+03,1.521487439603393113e+03,1.476566538205281859e+03,1.553789798012105166e+03
2.992985971943887762e+03,1.468230140798032835e+03,1.425375150523082084e+03,1.499373220434270252e+03,1.527805378500456754e+03,1.483211494463947929e+03,1.560212126767761902e+03
2.998797595190380889e+03,1.474310346668489501e+03,1.431766873509538073e+03,1.505551134801511807e+03,1.534132296177153194e+03,1.489862569445479494e+03,1.566640717583270089e+03
3.004609218436873562e+03,1.480399086968455549e+03,1.438164385271346873e+03,1.511735007371885104e+03,1.540468094578297951e+03,1.496519668089020115e+03,1.573075508363306199e+03
3.010420841683366689e+03,1.486496268818673570e+03,1.444567597059013224e+03,1.517924779351505549e+03,1.546812677055943823e+03,1.503182698043953678e+03,1.579516437928350570e+03
3.016232464929859816e+03,1.492601800656241721e+03,1.450976422604375102e+03,1.524120392796229453e+03,1.553165948331911522e+03,1.509851569541682693e+03,1.585963445983105430e+03
3.022044088176352489e+03,1.498715592199692082e+03,1.457390778003924197e+03,1.530321790582493350e+03,1.559527814461452408e+03,1.516526195274211432e+03,1.592416473086148699e+03
3.027855711422845616e+03,1.504837554415160412e+03,1.463810581608268194e+03,1.536528916379275870e+03,1.565898182798043763e+03,1.523206490279122590e+03,1.598875460620758986e+03
3.033667334669338743e+03,1.510967599483561116e+03,1.470235753917368811e+03,1.542741714621139408e+03,1.572276961959233631e+03,1.529892371830567299e+03,1.605340350766862002e+03
3.039478957915831870e+03,1.517105640768775402e+03,1.476666217481223612e+03,1.548960130482326122e+03,1.578664061793535438e+03,1.536583759335913101e+03,1.611811086474079048e+03
3.045290581162324543e+03,1.523251592786775063e+03,1.483101896805655088e+03,1.555184109851815720e+03,1.585059393348302592e+03,1.543280574237715200e+03,1.618287611435767531e+03
3.051102204408817670e+03,1.529405371175686241e+03,1.489542718262924609e+03,1.561413599309344590e+03,1.591462868838574195e+03,1.549982739920697668e+03,1.624769870064071938e+03
3.056913827655310797e+03,1.535566892666733793e+03,1.495988610006876570e+03,1.567648546102319642e+03,1.597874401616842988e+03,1.556690181623460148e+03,1.631257807465897486e+03
3.062725450901803470e+03,1.541736075056043319e+03,1.502439501892368753e+03,1.573888898123595027e+03,1.604293906143710728e+03,1.563402826354634726e+03,1.637751369419787807e+03
3.068537074148296597e+03,1.547912837177275151e+03,1.508895325398726072e+03,1.580134603890077187e+03,1.610721297959415324e+03,1.570120602813236928e+03,1.644250502353658931e+03
3.074348697394789724e+03,1.554097098875070742e+03,1.515356013557009192e+03,1.586385612522124802e+03,1.617156493656195607e+03,1.576843441312978939e+03,1.650755153323365903e+03
3.080160320641282397e+03,1.560288780979238709e+03,1.521821500880857911e+03,1.592641873723684284e+03,1.623599410851432822e+03,1.583571273710312425e+03,1.657265269992031335e+03
3.085971943887775524e+03,1.566487805279735085e+03,1.528291723300740159e+03,1.598903337763180389e+03,1.630049968161614061e+03,1.590304033336005432e+03,1.663780800610160441e+03
3.091783567134268651e+03,1.572694094502311600e+03,1.534766618101391714e+03,1.605169955455066884e+03,1.636508085176994427e+03,1.597041654930044388e+03,1.670301693996442737e+03
3.097595190380761323e+03,1.578907572284905882e+03,1.541246123862280228e+03,1.611441678142066166e+03,1.642973682437026582e+03,1.603784074579684557e+03,1.676827899519271796e+03
3.103406813627254451e+03,1.585128163154683307e+03,1.547730180400946210e+03,1.617718457678032564e+03,1.649446681406473772e+03,1.610531229660488634e+03,1.683359367078914147e+03
3.109218436873747578e+03,1.591355792505719819e+03,1.554218728719014052e+03,1.624000246411425678e+03,1.655927004452184292e+03,1.617283058780149531e+03,1.689896047090308684e+03
3.115030060120240705e+03,1.597590386577341633e+03,1.560711710950799215e+03,1.630286997169372626e+03,1.662414574820555572e+03,1.624039501725011860e+03,1.696437890466485669e+03
3.120841683366733378e+03,1.603831872433043827e+03,1.567209070314303517e+03,1.636578663242283483e+03,1.668909316615594435e+03,1.630800499409078384e+03,1.702984848602556895e+03
3.126653306613226505e+03,1.610080177940024214e+03,1.573710751064539181e+03,1.642875198369016061e+03,1.675411154777621050e+03,1.637565993825439818e+03,1.709536873360276331e+03
3.132464929859719632e+03,1.616335231749250852e+03,1.580216698448969055e+03,1.649176556722534087e+03,1.681920015062529728e+03,1.644335927999908108e+03,1.716093917053120776e+03
3.138276553106212305e+03,1.622596963276118231e+03,1.586726858665069130e+03,1.655482692896082199e+03,1.688435824021657709e+03,1.651110245946855912e+03,1.722655932431900055e+03
3.144088176352705432e+03,1.628865302681611865e+03,1.593241178819786455e+03,1.661793561889830016e+03,1.694958508982187823e+03,1.657888892627029236e+03,1.729222872670858806e+03
